classifier,params,Train/Test Split ID,Precision,Recall,Accuracy,AUC_ROC Score
BA,{'n_estimators': 10},0,0.2780933062880325,0.049304132053080166,0.6957602190891571,0.49951184874272897
BA,{'n_estimators': 10},1,0.29113539769277474,0.04942534659588724,0.6845501055092529,0.499587856219524
BA,{'n_estimators': 10},2,0.28021729289271163,0.04922073791348599,0.693340275262586,0.4994521411086417
BA,{'n_estimators': 25},0,0.2748478701825558,0.04872873736828856,0.6954356425600974,0.4991111299121228
BA,{'n_estimators': 25},1,0.30722525804493017,0.052156882956243884,0.6861593113813362,0.5015239093269641
BA,{'n_estimators': 25},2,0.28610230873698506,0.05025445292620865,0.6939288301340094,0.5001746948175347
BA,{'n_estimators': 50},0,0.2746450304259635,0.048692775200489084,0.6954153565270311,0.4990860849852098
BA,{'n_estimators': 50},1,0.2874924104432301,0.04880688553316497,0.6841857570099134,0.4991495045725565
BA,{'n_estimators': 50},2,0.3005885015844273,0.052798982188295165,0.6953775805867439,0.501953288562502
DecisionTree,"{'criterion': 'entropy', 'max_depth': 10}",0,0.2849898580121704,0.050526845758262315,0.6964499442134091,0.5003633762577673
DecisionTree,"{'criterion': 'entropy', 'max_depth': 10}",1,0.2859744990892532,0.048549193423697366,0.6840339451351884,0.4989668580529867
DecisionTree,"{'criterion': 'entropy', 'max_depth': 10}",2,0.2761430511543685,0.048505089058524166,0.6929328141977544,0.4989519116178697
DecisionTree,"{'criterion': 'entropy', 'max_depth': 15}",0,0.2774847870182556,0.04919624554968174,0.6956993609899584,0.4994367139619903
DecisionTree,"{'criterion': 'entropy', 'max_depth': 15}",1,0.3075288403157256,0.0522084213781374,0.6861896737562813,0.5015604386308781
DecisionTree,"{'criterion': 'entropy', 'max_depth': 15}",2,0.2729741964689905,0.04794847328244275,0.6926159000362188,0.4985628442361581
DecisionTree,"{'criterion': 'entropy', 'max_depth': 1}",0,0.2866125760649087,0.05081454310065811,0.6966122324779389,0.5005637356730703
DecisionTree,"{'criterion': 'entropy', 'max_depth': 1}",1,0.3117789921068609,0.0529299592846467,0.6866147470055107,0.5020718488856736
DecisionTree,"{'criterion': 'entropy', 'max_depth': 1}",2,0.2987777274784971,0.05248091603053435,0.6951964867801521,0.5017309643443811
DecisionTree,"{'criterion': 'entropy', 'max_depth': 3}",0,0.2878296146044625,0.05103031610745496,0.6967339486763363,0.5007140052345478
DecisionTree,"{'criterion': 'entropy', 'max_depth': 3}",1,0.3066180935033394,0.05205380611245684,0.6860985866314463,0.5014508507191363
DecisionTree,"{'criterion': 'entropy', 'max_depth': 3}",2,0.2915346310547759,0.05120865139949109,0.6944721115537849,0.5008416674718975
DecisionTree,"{'criterion': 'entropy', 'max_depth': 5}",0,0.2878296146044625,0.05103031610745496,0.6967339486763363,0.5007140052345478
DecisionTree,"{'criterion': 'entropy', 'max_depth': 5}",1,0.3054037644201579,0.05184765242488275,0.6859771371316664,0.5013047335034804
DecisionTree,"{'criterion': 'entropy', 'max_depth': 5}",2,0.2965142598460842,0.052083333333333336,0.6949701195219123,0.50145305907173
DecisionTree,"{'criterion': 'gini', 'max_depth': 10}",0,0.2829614604462475,0.05016722408026756,0.6962470838827467,0.5001129269886383
DecisionTree,"{'criterion': 'gini', 'max_depth': 10}",1,0.2874924104432301,0.04880688553316497,0.6841857570099134,0.4991495045725565
DecisionTree,"{'criterion': 'gini', 'max_depth': 10}",2,0.2770484382073337,0.04866412213740458,0.6930233611010503,0.4990630737269302
DecisionTree,"{'criterion': 'gini', 'max_depth': 15}",0,0.2823529411764706,0.05005933757686913,0.6961862257835479,0.5000377922078998
DecisionTree,"{'criterion': 'gini', 'max_depth': 15}",1,0.3011536126290225,0.05112611451837345,0.6855520638824368,0.5007933232486849
DecisionTree,"{'criterion': 'gini', 'max_depth': 15}",2,0.2793119058397465,0.0490617048346056,0.6932497283592901,0.4993409789995813
DecisionTree,"{'criterion': 'gini', 'max_depth': 1}",0,0.2929006085192698,0.05192937030244183,0.6972410995029922,0.50134012840737
DecisionTree,"{'criterion': 'gini', 'max_depth': 1}",1,0.306314511232544,0.05200226769056331,0.6860682242565014,0.5014143214152224
DecisionTree,"{'criterion': 'gini', 'max_depth': 1}",2,0.2996831145314622,0.05263994910941476,0.695287033683448,0.5018421264534415
DecisionTree,"{'criterion': 'gini', 'max_depth': 3}",0,0.2801217038539553,0.049663753731074914,0.6959630794198195,0.4997622980118579
DecisionTree,"{'criterion': 'gini', 'max_depth': 3}",1,0.2996357012750455,0.050868422408905836,0.6854002520077119,0.5006106767291151
DecisionTree,"{'criterion': 'gini', 'max_depth': 3}",2,0.2942507922136713,0.051685750636132316,0.6947437522636726,0.5011751537990788
DecisionTree,"{'criterion': 'gini', 'max_depth': 5}",0,0.2904665314401623,0.05149782428884813,0.6969976671061974,0.5010395892844153
DecisionTree,"{'criterion': 'gini', 'max_depth': 5}",1,0.3005464480874317,0.0510230376745864,0.6854913391325469,0.5007202646408571
DecisionTree,"{'criterion': 'gini', 'max_depth': 5}",2,0.3051154368492531,0.0535941475826972,0.6958303151032235,0.5025090991078042
GB,{'n_estimators': 10},0,0.28154158215010144,0.04991548890567123,0.6961050816512829,0.4999376125002481
GB,{'n_estimators': 10},1,0.2814207650273224,0.047776117095294536,0.6835785095110141,0.4984189184942772
GB,{'n_estimators': 10},2,0.2820280669986419,0.04953880407124682,0.6935213690691778,0.4996744653267626
GB,{'n_estimators': 25},0,0.2874239350912779,0.050958391771856015,0.6966933766102039,0.5006639153807219
GB,{'n_estimators': 25},1,0.29902853673345475,0.0507653455651188,0.6853395272578221,0.500537618121287
GB,{'n_estimators': 25},2,0.2738795835219556,0.04810750636132315,0.6927064469395147,0.4986740063452186
GB,{'n_estimators': 50},0,0.2789046653144016,0.049447980724278064,0.6958413632214221,0.4996120284503806
GB,{'n_estimators': 50},1,0.3014571948998179,0.051177652940266966,0.6855824262573819,0.5008298525525988
GB,{'n_estimators': 50},2,0.3078315980081485,0.05407124681933842,0.6961019558131112,0.5028425854349857
KNN,"{'n_neighbors': 10, 'weights': 'uniform'}",0,0.2874239350912779,0.050958391771856015,0.6966933766102039,0.5006639153807219
KNN,"{'n_neighbors': 10, 'weights': 'uniform'}",1,0.3011536126290225,0.05112611451837345,0.6855520638824368,0.5007933232486849
KNN,"{'n_neighbors': 10, 'weights': 'uniform'}",2,0.2833861475780896,0.049777353689567434,0.6936571894241217,0.4998412084903533
KNN,"{'n_neighbors': 25, 'weights': 'uniform'}",0,0.2742393509127789,0.04862085086489014,0.6953747844608986,0.4990359951313842
KNN,"{'n_neighbors': 25, 'weights': 'uniform'}",1,0.29811778992106863,0.05061073029943823,0.6852484401329872,0.5004280302095453
KNN,"{'n_neighbors': 25, 'weights': 'uniform'}",2,0.27885921231326394,0.0489821882951654,0.6932044549076422,0.49928539794505106
KNN,"{'n_neighbors': 50, 'weights': 'uniform'}",0,0.2809330628803245,0.04980760240227281,0.6960442235520844,0.4998624777195095
KNN,"{'n_neighbors': 50, 'weights': 'uniform'}",1,0.294474802671524,0.04999226923671597,0.6848840916336476,0.4999896785625777
KNN,"{'n_neighbors': 50, 'weights': 'uniform'}",2,0.2729741964689905,0.04794847328244275,0.6926159000362188,0.4985628442361581
LogisticRegression,"{'C': 0.1, 'penalty': 'l1'}",0,0.2823529411764706,0.05005933757686913,0.6961862257835479,0.5000377922078998
LogisticRegression,"{'C': 0.1, 'penalty': 'l1'}",1,0.3075288403157256,0.0522084213781374,0.6861896737562813,0.5015604386308781
LogisticRegression,"{'C': 0.1, 'penalty': 'l1'}",2,0.28519692168401994,0.05009541984732824,0.6938382832307135,0.5000635327084743
LogisticRegression,"{'C': 0.1, 'penalty': 'l2'}",0,0.2825557809330629,0.050095299744668614,0.6962065118166143,0.5000628371348126
LogisticRegression,"{'C': 0.1, 'penalty': 'l2'}",1,0.2935640558591378,0.049837653971035414,0.6847930045088126,0.4998800906508358
LogisticRegression,"{'C': 0.1, 'penalty': 'l2'}",2,0.2870076957899502,0.05041348600508906,0.6940193770373053,0.5002858569265952
LogisticRegression,"{'C': 1, 'penalty': 'l1'}",0,0.2744421906693712,0.048656813032689615,0.6953950704939649,0.49906104005829705
LogisticRegression,"{'C': 1, 'penalty': 'l1'}",1,0.28020643594414085,0.04756996340772045,0.6834570600112341,0.4982728012786213
LogisticRegression,"{'C': 1, 'penalty': 'l1'}",2,0.2824807605251245,0.049618320610687015,0.6935666425208258,0.4997300463812929
LogisticRegression,"{'C': 1, 'penalty': 'l2'}",0,0.27261663286004056,0.048333153522494336,0.6952124961963688,0.4988356357160809
