,Train/Test Split ID,classifier,params,Threshold,Accuracy,Precision,Recall,F1,AUC_ROC Score
0,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 1}",0.01,0.713530784055178,0.2789046653144016,0.009889596144855612,0.01910186503664085,0.49992240569007607
1,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 1}",0.02,0.7094127193427325,0.2865111561866126,0.020318624806703347,0.03794620370059438,0.5002204852838456
2,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 1}",0.05,0.6972410995029922,0.2929006085192698,0.05192937030244183,0.0882182240278584,0.50134012840737
3,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 1}",0.1,0.6757277614362511,0.2888731108631707,0.10242025389290467,0.15122391546753042,0.5016855235812375
4,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 1}",0.2,0.6308043412110762,0.2821280048686479,0.20005753946847915,0.2341083640189374,0.5000400718830607
5,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 1}",0.3,0.5859012070189674,0.2799134462589174,0.29773078721185314,0.2885473302662763,0.4984196651117966
6,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 1}",0.5,0.5006187240085201,0.2826655847449031,0.501096846117884,0.361443282923919,0.5007638702708431
0,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 3}",0.01,0.7132670656253169,0.2657200811359026,0.009422087963462437,0.01819886778036328,0.49959682164020847
1,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 3}",0.02,0.7090272847144741,0.2768762677484787,0.019635343618513323,0.036670136673494745,0.4997446316725006
2,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 3}",0.05,0.6959630794198195,0.28012170385395535,0.04966375373107491,0.08436936799340196,0.4997622980118579
3,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 3}",0.1,0.6736991581296278,0.27873009433005375,0.09882403711295717,0.1459140869749907,0.4991810308899485
4,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 3}",0.2,0.6293640328633736,0.27852723399939144,0.19750422555471644,0.2311204629142557,0.49826188207224537
5,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 3}",0.3,0.5863677857794908,0.2806910775264564,0.2985579170712411,0.2893489474417956,0.49899569843079317
6,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 3}",0.5,0.4996449944213409,0.2816918551577239,0.49937066206350916,0.3601981790355632,0.49956171377902436
0,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 5}",0.01,0.7141799371132975,0.31135902636916835,0.01104038551443881,0.021324627513631785,0.5007238433512886
1,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 5}",0.02,0.7101024444669845,0.3037525354969574,0.021541338511885496,0.040229692064877934,0.5010720127988838
2,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 5}",0.05,0.6969976671061974,0.29046653144016227,0.05149782428884813,0.08748510859272383,0.5010395892844153
3,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 5}",0.1,0.6762957703621056,0.2917131554924435,0.10342719459128996,0.1527106674454415,0.5023867815347984
4,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 5}",0.2,0.6322243635257125,0.2856780606552389,0.20257489121444242,0.23705418200946868,0.501793216766963
5,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 5}",0.3,0.5881732427223857,0.28370017243128104,0.3017585500053943,0.29245085738184856,0.5012246969260403
6,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 5}",0.5,0.5010853027690435,0.2831321635054265,0.5019239759772719,0.36203989520375607,0.5013399035898397
0,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 10}",0.01,0.7135713561213105,0.28093306288032455,0.009961520480454561,0.019240787691452783,0.49997249554390194
1,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 10}",0.02,0.7088649964499442,0.27281947261663286,0.019347646276117524,0.03613284529366332,0.49954427225719755
2,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 10}",0.05,0.6962470838827467,0.2829614604462475,0.05016722408026756,0.08522466933439227,0.5001129269886383
3,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 10}",0.1,0.6745714575514759,0.283091591439294,0.10037041032833459,0.14819731322678276,0.5002579627472028
4,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 10}",0.2,0.6308449132772086,0.2822294350339791,0.20012946380407812,0.2341925302472383,0.5000901617368864
5,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 10}",0.3,0.5874835175981337,0.2825506305575278,0.3005358363002122,0.29126585807890704,0.5003731694110021
6,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 10}",0.5,0.49921898772695,0.28126584846333297,0.4986154565397202,0.3596534460844077,0.49903577031385377
0,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 15}",0.01,0.713956790749569,0.3002028397565923,0.010644801668644586,0.020560552912166154,0.5004483491552468
1,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 15}",0.02,0.7098184400040572,0.29665314401622717,0.021037868162692847,0.039289432150172936,0.5007213838221033
2,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 15}",0.05,0.696186225783548,0.2823529411764706,0.05005933757686913,0.08504139047560863,0.5000377922078998
3,0,DecisionTree,"{'criterion': 'gini', 'max_depth': 15}",0.1,0.6749163201136018,0.2848159042499239,0.10098176718092566,0.1490999840705145,0.5006837265047219
